Seed,Popsize,Ngen,Pcross,Pmut,BestCost,BestTime,WorstCost,WorstTime,AvgCost,AvgTime,TotalSolutions,UniqueSolutions,SpreadCost,SpreadTime,Hypervolume,HvRefCost,HvRefTime,Score,ExecTimeSec
0.780800,200,200,0.9,0.01,173.0,766.0,369.0,1275.0,245.27,970.05,63,42,196.0,509.0,0.9453,388.6,1325.9,0.2157,0.22
0.780800,400,200,0.9,0.01,173.0,766.0,369.0,1275.0,248.28,973.05,76,38,196.0,509.0,0.9427,388.6,1325.9,0.2069,0.45
0.780800,600,200,0.9,0.01,173.0,766.0,369.0,1275.0,251.79,950.09,80,43,196.0,509.0,0.9434,388.6,1325.9,0.2171,0.83
0.780800,800,200,0.9,0.01,173.0,766.0,369.0,1275.0,248.04,971.56,75,32,196.0,509.0,0.9501,388.6,1325.9,0.1972,1.33
0.780800,1000,200,0.9,0.01,173.0,766.0,369.0,1275.0,245.41,964.64,80,42,196.0,509.0,0.9465,388.6,1325.9,0.2161,1.92
0.780800,1200,200,0.9,0.01,173.0,766.0,369.0,1275.0,252.58,960.49,79,39,196.0,509.0,0.9431,388.6,1325.9,0.2091,2.64
0.780800,1400,200,0.9,0.01,173.0,766.0,369.0,1275.0,243.42,973.66,79,40,196.0,509.0,0.9447,388.6,1325.9,0.2115,3.42
0.780800,1600,200,0.9,0.01,173.0,766.0,369.0,1275.0,242.99,978.15,81,42,196.0,509.0,0.9476,388.6,1325.9,0.2164,4.28
0.780800,1800,200,0.9,0.01,173.0,766.0,369.0,1275.0,260.96,931.0,74,34,196.0,509.0,0.952,388.6,1325.9,0.2017,4.58
0.780800,2000,200,0.9,0.01,173.0,766.0,369.0,1275.0,254.35,943.94,78,37,196.0,509.0,0.9466,388.6,1325.9,0.2061,6.48
0.780800,2200,200,0.9,0.01,173.0,766.0,369.0,1275.0,246.94,967.81,77,40,196.0,509.0,0.9448,388.6,1325.9,0.2116,7.75
0.780800,2400,200,0.9,0.01,173.0,766.0,369.0,1275.0,244.17,975.54,81,45,196.0,509.0,0.9433,388.6,1325.9,0.2211,9.11
0.780800,2600,200,0.9,0.01,173.0,766.0,369.0,1275.0,250.21,964.89,80,41,196.0,509.0,0.945,388.6,1325.9,0.2136,9.54
0.780800,2800,200,0.9,0.01,173.0,766.0,369.0,1275.0,252.04,959.11,80,42,196.0,509.0,0.9451,388.6,1325.9,0.2157,11.99
0.780800,3000,200,0.9,0.01,173.0,766.0,369.0,1275.0,247.18,973.17,83,43,196.0,509.0,0.9425,388.6,1325.9,0.2169,13.75
0.780800,3200,200,0.9,0.01,173.0,766.0,369.0,1275.0,253.05,956.17,80,42,196.0,509.0,0.9452,388.6,1325.9,0.2157,14.64
0.780800,3400,200,0.9,0.01,173.0,766.0,369.0,1275.0,253.82,953.38,80,43,196.0,509.0,0.942,388.6,1325.9,0.2167,16.38
0.780800,3600,200,0.9,0.01,173.0,766.0,369.0,1275.0,255.69,947.06,81,42,196.0,509.0,0.9421,388.6,1325.9,0.2148,19.33
0.780800,3800,200,0.9,0.01,173.0,766.0,369.0,1275.0,247.65,962.23,80,43,196.0,509.0,0.9437,388.6,1325.9,0.2172,20.63
0.780800,4000,200,0.9,0.01,173.0,766.0,369.0,1275.0,248.32,965.04,81,43,196.0,509.0,0.9442,388.6,1325.9,0.2174,23.26
