Seed,Popsize,Ngen,TotalSolutions,UniqueSolutions,Hypervolume,Score,ExecTimeSec
0.912555,200,200,116,97,0.9844,0.4324,3.21
0.912555,200,400,153,131,0.9907,0.5023,6.32
0.912555,200,600,165,146,0.9928,0.5329,9.55
0.912555,200,800,172,154,0.9938,0.5492,10.78
0.912555,200,1000,168,148,0.9956,0.5377,16.93
0.912555,200,1200,193,177,0.9961,0.5959,16.66
0.912555,200,1400,193,174,0.9972,0.5902,19.74
0.912555,200,1600,191,174,0.9982,0.5905,22.95
0.912555,200,1800,193,175,0.9988,0.5927,25.95
0.912555,200,2000,191,170,0.9999,583,29.73
0.912555,200,2200,194,174,1.0004,0.5912,32.43
0.912555,200,2400,193,176,1001,0.5954,35.59
0.912555,200,2600,193,176,1.0013,0.5955,39.13
0.912555,200,2800,193,174,1.0031,592,39.44
0.912555,200,3000,193,177,1.0024,0.5978,44.73
0.912555,200,3200,194,180,1.0034,0.6041,47.31
0.912555,200,3400,194,178,1.0042,0.6003,48.94
0.912555,200,3600,193,177,1.0031,598,52.5
0.912555,200,3800,193,180,1.0093,0.6051,54.99
0.912555,200,4000,194,183,1.0055,0.6107,58.18
0.912555,400,200,146,110,0.9837,0.4582,6.84
0.912555,400,400,213,173,0.9893,0.5859,10.72
0.912555,400,600,219,180,0.9929,0.6009,18.81
0.912555,400,800,238,203,0.9947,0.6475,22.92
0.912555,400,1000,235,196,0.9966,0.6341,29.36
0.912555,400,1200,233,196,0.9979,0.6344,35.57
0.912555,400,1400,255,215,0.9987,0.6727,39.77
0.912555,400,1600,269,233,0.9991,0.7088,46.64
0.912555,400,1800,253,216,1.0004,0.6752,54.73
0.912555,400,2000,256,216,1.0005,0.6752,57.79
0.912555,400,2200,266,231,1.0007,0.7053,63.59
0.912555,400,2400,273,235,1001,0.7134,71.32
0.912555,400,2600,277,241,1.0015,0.7255,75.06
0.912555,400,2800,275,233,1.0016,0.7095,81.57
0.912555,400,3000,280,245,1.0024,0.7338,88.1
0.912555,400,3200,286,249,1.0023,0.7418,94.0
0.912555,400,3400,280,243,1.0029,0.7299,98.79
0.912555,400,3600,290,250,1.0031,744,104.83
0.912555,400,3800,304,268,1.0031,0.78,158.52
0.912555,400,4000,303,265,1.0031,774,117.21
0.912555,600,200,162,104,0.9861,0.4469,10.77
0.912555,600,400,209,151,0.9924,0.5428,17.04
0.912555,600,600,249,189,0.9942,0.6193,26.9
0.912555,600,800,249,190,0.9968,0.6221,36.22
0.912555,600,1000,279,222,0.9972,0.6862,43.56
0.912555,600,1200,289,233,0.9983,0.7086,53.38
0.912555,600,1400,291,232,0.9994,0.7069,62.78
0.912555,600,1600,309,249,0.9994,0.7409,72.47
0.912555,600,1800,296,236,1.0006,0.7152,80.41
0.912555,600,2000,297,236,1.0012,0.7154,89.57
0.912555,600,2200,313,252,1.0013,0.7475,97.07
0.912555,600,2400,311,258,1002,0.7597,107.01
0.912555,600,2600,317,259,1.0025,0.7618,116.49
0.912555,600,2800,316,257,1003,758,126.2
0.912555,600,3000,329,270,1.0032,784,134.17
0.912555,600,3200,321,261,1.0037,0.7662,143.81
0.912555,600,3400,320,261,1.0045,0.7664,151.02
0.912555,600,3600,326,267,1.0047,0.7785,160.67
0.912555,600,3800,322,266,1.0054,0.7767,171.29
0.912555,600,4000,344,286,1.0052,0.8166,179.8
0.912555,800,200,183,102,986,0.4429,12.12
0.912555,800,400,252,175,0.9909,0.5903,23.89
0.912555,800,600,261,183,0.9939,0.6072,37.01
0.912555,800,800,300,223,0.9952,0.6876,47.93
0.912555,800,1000,307,228,0.9966,698,60.87
0.912555,800,1200,327,247,0.9977,0.7364,73.61
0.912555,800,1400,330,253,0.9989,0.7487,82.59
0.912555,800,1600,340,261,0.9998,765,97.38
0.912555,800,1800,352,273,1.0001,0.7891,108.79
0.912555,800,2000,354,278,1001,0.7994,122.33
0.912555,800,2200,362,283,1.0016,0.8096,136.29
0.912555,800,2400,364,282,1.0023,0.8078,145.42
0.912555,800,2600,357,280,1.0031,804,156.8
0.912555,800,2800,357,278,1.0038,0.8002,169.51
0.912555,800,3000,350,273,1.0043,0.7904,181.4
0.912555,800,3200,366,288,1.0056,0.8207,194.06
0.912555,800,3400,364,282,1.0058,0.8088,207.8
0.912555,800,3600,364,286,1.0064,817,218.01
0.912555,800,3800,372,294,1.0065,833,231.36
0.912555,800,4000,369,294,1.0067,0.8331,242.14
